title,website_url,source,grades_or_ages,prices_mentioned,description
Lessons of King Arthur and His Court by Jacob Noonan—A Study Guide to Legends of King Arthur and His Court,https://themysteryofhistory.com/product/lessons-of-king-arthur-and-his-court-study-guide/,The Mystery of History,All Ages; K-12 World History,$9.95,"This 96-page paperback book is the study guide to Legends of King Arthur and His Court , revised by Shelley Noonan. Designed for ages 9-14, this paperback is a ten-week, easy-to-follow study guide that transports students into the rich and exciting adventures of King Arthur! (Answer Key provided.) Read more below to bundle a book and audiobook to match!"
Medieval History—Go Fish Game,https://themysteryofhistory.com/product/medieval-history-go-fish-game/,The Mystery of History,All Ages; K-12 World History,$11.99,"Make learning fun! Students 5 years and up can enjoy this classic game of “Go Fish” which incorporates vivid imagery with the knowledge of medieval times. Students a little older can additionally use these cards for guessing games, chronology drills, and geography skills. (Game ideas and answer key provided.)"
Medieval History—Memory Game,https://themysteryofhistory.com/product/medieval-history-memory-game/,The Mystery of History,All Ages; K-12 World History,$14.99,"This Medieval History Memory Game will teach children (primarily ages 5-10) names and images of important names and places from ancient times. Patterned after the vintage card game of Concentration, students try to find matching tiles. The one who finds the most matching tiles, wins! (Some students younger than 5 will enjoy this one because the thick tiles are easier to pick up than cards.) Easy, fun, and informative, this memory game is an author’s favorite!"
Modern World History—Go Fish Game,https://themysteryofhistory.com/product/modern-world-history-go-fish-game/,The Mystery of History,All Ages; K-12 World History,$11.99,"Make learning fun! Students 5 years and up can enjoy this classic game of “Go Fish” that incorporates vivid imagery with the knowledge of modern world history. Students a little older can additionally use these cards for guessing games, chronology drills, and geography skills. (Game ideas and answer key provided.)"
Rand McNally’s “Atlas of World Geography” (7th Edition),https://themysteryofhistory.com/product/rand-mcnallys-world-atlas-know-geography/,The Mystery of History,All Ages; K-12 World History,$16.00 (was $18.00),"This beautiful paperback atlas by Rand McNally offers 65 physical and political maps of our present world that span every nation and continent. This particular atlas will help students with mapping exercises found in the Companion Guides of The Mystery of History Volumes II, III, and IV. (*Please see a special note below on 2026 price, edition, and ISBN changes.)"
Rand McNally’s “Historical Atlas of the World”,https://themysteryofhistory.com/product/rand-mcnallys-historical-atlas-of-the-world/,The Mystery of History,All Ages; K-12 World History,$12.50 (was $13.00),"With 75 colorful, thematic maps, the Historical Atlas of the World will provide useful information for students of all time periods and will help them complete mapping exercises exclusive to The Mystery of History series."
Tim Dowley’s “The Student Bible Atlas”,https://themysteryofhistory.com/product/tim-dowleys-student-bible-atlas/,The Mystery of History,Grades 1-5; Volume I (Creation to A.D. 33); All Ages,$11.90 (was $14.99),"This colorful, easy-to-read Bible atlas (by Tim Dowley) will help students of all ages unlock the mysteries of the Old Testament and the New found in The Mystery of History Volume I."
Volume I (Third Edition)—Companion Guide,https://themysteryofhistory.com/product/volume-1-companion-guide/,The Mystery of History,Grades 1-5; Volume I (Creation to A.D. 33); All Ages,$39.95,"All of our hardback volumes come with a one-time download code (in the cover) for a digital Companion Guide loaded with curriculum for all ages! But, if you prefer paper pages in a binder, or the code has been used, this is the product you’re looking for."
Volume I (Third Edition)—Planning Pages (PDF),https://themysteryofhistory.com/product/volume-1-third-edition-planning-pages-pdf/,The Mystery of History,Grades 1-5; Volume I (Creation to A.D. 33),$7.00,"These Planning Pages were designed to help families** line up our Volume I Student Reader with our Companion Guide —in one easy-to-use 38-page planner! You can print these pages for a notebook, or use them in Adobe Reader with tools for text, sticky notes, highlighting, box checking, signing, etc. If you’re the scheduling type or not, these Planning Pages will help you “look ahead” to see and enjoy the many features of The Mystery of History."
Volume I (Third Edition)—Student Reader and digital Companion Guide,https://themysteryofhistory.com/product/volume-1-student-reader-and-companion-guide/,The Mystery of History,Grades 1-5; Volume I (Creation to A.D. 33); All Ages,$79.95 (was $99.95),"The Mystery of History Volume I (retailing at $99.95) covers world history from Creation (c. 4000 B.C.) to the death and resurrection of Jesus Christ (c. A.D. 33). Where most ancient studies encompass only Egypt, Greece, and Rome, The Mystery of History Volume I goes further to blend secular and sacred events—on one seamless timeline. (Access to a digital Companion Guide, a 500+ page PDF resource—full of curriculum for all ages—is found on the inside cover of the book!) The ISBN of our current Third Edition is: 978-1892427335 . Volume I is restocked and shipping now!"
